expense_id,amount,merchant,description,category
EXP00126,1125.05,Microsoft Store,Xbox controller,technology
EXP00127,79.66,Target,gift cards,shopping
EXP00128,24.82,Google Play,mobile game,technology
EXP00129,6.44,Khan Academy,educational subscription,education
EXP00130,136.41,Udemy,business course,education
EXP00131,543.04,Southwest Airlines,business travel,travel
EXP00132,93.63,Udemy,business course,education
EXP00133,190.68,Family Clinic,doctor visit,healthcare
EXP00134,1263.81,Real Estate Rental,monthly lease,rent
EXP00135,35.86,Chevron,car maintenance,transport
EXP00136,131.85,AT&T,fiber internet,utilities
EXP00137,124.05,Metro Transit,daily transit fare,transport
EXP00138,592.34,Samsung,Galaxy smartphone,technology
EXP00139,261.0,Marriott Hotel,vacation lodging,travel
EXP00140,74.14,Concert Venue,festival pass,entertainment
EXP00141,1553.87,Landlord Services,monthly rent,rent
EXP00142,243.45,Home Depot,garden tools,shopping
EXP00143,1184.67,Microsoft Store,Surface laptop,technology
EXP00144,166.66,Verizon,phone and data,utilities
EXP00145,12.06,Disney+,streaming subscription,entertainment
EXP00146,314.71,Best Buy,tech accessories,technology
EXP00147,9.42,Disney+,annual subscription,entertainment
EXP00148,10.2,Disney+,family entertainment,entertainment
EXP00149,360.86,Family Clinic,medical consultation,healthcare
EXP00150,788.63,Property Management,housing payment,rent
EXP00151,21.36,Domino's,pizza pickup order,food
EXP00152,347.32,Marriott Hotel,business trip hotel,travel
EXP00153,10.62,Disney+,streaming subscription,entertainment
EXP00154,23.27,Planet Fitness,monthly gym membership,fitness
EXP00155,27.74,Uber,ride home,transport
EXP00156,1700.22,Landlord Services,residential rent,rent
EXP00157,210.06,Amazon Books,reference books,education
EXP00158,580.03,Best Buy,tech accessories,shopping
EXP00159,184.07,Southwest Airlines,travel to Chicago,travel
EXP00160,85.12,Udemy,business course,education
EXP00161,115.62,Family Clinic,routine examination,healthcare
EXP00162,74.38,Concert Venue,band performance,entertainment
EXP00163,63.69,Chevron,full tank gas,transport
EXP00164,103.83,Progressive,car coverage,insurance
EXP00165,73.85,Best Buy,tech accessories,technology
EXP00166,21.24,McDonald's,chicken nuggets,food
EXP00167,217.43,Marriott Hotel,hotel accommodation,travel
EXP00168,93.55,BP,highway gas station,transport
EXP00169,1671.44,Apartment Complex,apartment rent,rent
EXP00170,37.61,CVS Pharmacy,over-the-counter medicine,healthcare
EXP00171,21.84,Pizza Hut,large pepperoni pizza,food
EXP00172,135.41,Airbnb,travel accommodation,travel
EXP00173,20.77,Planet Fitness,monthly gym membership,fitness
EXP00174,697.6,University,education payment,education
EXP00175,10.95,Chipotle,burrito bowl,food
EXP00176,13.55,Subway,veggie delite,food
EXP00177,24.05,Chipotle,chicken burrito,food
EXP00178,21.25,Whole Foods,weekly shopping,food
EXP00179,233.7,Hilton Hotels,conference hotel,travel
EXP00180,46.98,Water Department,water usage charge,utilities
EXP00181,2118.75,Housing Authority,subsidized rent,rent
EXP00182,21.86,Target,kitchen supplies,shopping
EXP00183,341.73,Dental Office,dental examination,healthcare
EXP00184,2082.34,Housing Authority,subsidized rent,rent
EXP00185,23.89,PlayStation Store,DLC purchase,entertainment
EXP00186,128.2,Concert Venue,band performance,entertainment
EXP00187,40.25,Sports Authority,fitness equipment,fitness
EXP00188,13.58,Walgreens,prescription drugs,healthcare
EXP00189,28.83,Pizza Hut,large pepperoni pizza,food
EXP00190,195.21,AT&T,fiber internet,utilities
EXP00191,2267.65,University,education payment,education
EXP00192,28.51,Uber,trip to downtown,transport
EXP00193,31.11,KFC,colonel's meal,food
EXP00194,18.19,Pizza Hut,pizza delivery,food
EXP00195,66.05,Verizon,phone and data,utilities
EXP00196,82.36,H&M,accessories,shopping
EXP00197,440.77,Dental Office,dental checkup,healthcare
EXP00198,663.11,Samsung,tech gadget,technology
EXP00199,68.74,AT&T,monthly service,utilities
EXP00200,49.21,AMC Theaters,popcorn and movie,entertainment
EXP00201,65.9,H&M,jeans and tops,shopping
EXP00202,1328.45,Housing Authority,subsidized rent,rent
EXP00203,36.7,KFC,chicken tenders,food
EXP00204,53.75,Chevron,gasoline purchase,transport
EXP00205,15.01,Netflix,monthly streaming,entertainment
EXP00206,734.2,Best Buy,headphones,shopping
EXP00207,370.98,Family Clinic,health screening,healthcare
EXP00208,1070.12,Landlord Services,monthly rent,rent
EXP00209,60.27,Target,gift cards,shopping
EXP00210,120.67,CVS Pharmacy,over-the-counter medicine,healthcare
EXP00211,66.66,Eye Care Center,eye examination,healthcare
EXP00212,91.12,Personal Trainer,exercise coaching,fitness
EXP00213,100.03,Samsung,tablet device,technology
EXP00214,125.77,Verizon,wireless service,utilities
EXP00215,80.1,Shell,premium gasoline,transport
EXP00216,14.97,Disney+,monthly Disney plan,entertainment
EXP00217,243.35,Home Depot,home repair items,shopping
EXP00218,121.41,Physical Therapy,rehabilitation,healthcare
EXP00219,571.76,Campus Bookstore,study materials,education
EXP00220,138.42,Amazon Tech,tech gadgets,technology
EXP00221,8.65,McDonald's,Big Mac meal,food
EXP00222,152.77,Nike Store,fitness gear,fitness
EXP00223,208.32,Progressive,auto insurance premium,insurance
EXP00224,276.4,Eye Care Center,eye examination,healthcare
EXP00225,68.63,LA Fitness,workout facility,fitness
EXP00226,23.02,Khan Academy,skill building,education
EXP00227,118.75,Verizon,monthly phone plan,utilities
EXP00228,106.45,Nike Store,sports apparel,fitness
EXP00229,6091.27,University,student fees,education
EXP00230,245.59,Sports Authority,athletic supplies,fitness
EXP00231,89.18,Best Buy,tech accessories,shopping
EXP00232,65.48,LA Fitness,gym membership fee,fitness
EXP00233,302.26,Hilton Hotels,travel accommodation,travel
EXP00234,205.34,Sports Authority,athletic supplies,fitness
EXP00235,95.31,Coursera,professional course,education
EXP00236,1051.89,Housing Authority,assisted housing,rent
EXP00237,100.61,ComEd,monthly electric bill,utilities
EXP00238,89.22,Progressive,monthly auto premium,insurance
EXP00239,177.81,Parking Authority,downtown parking,transport
EXP00240,218.98,Hilton Hotels,travel accommodation,travel
EXP00241,35.99,AMC Theaters,weekend movie,entertainment
EXP00242,487.24,Southwest Airlines,business travel,travel
EXP00243,253.2,Sports Authority,fitness equipment,fitness
EXP00244,84.15,Peoples Gas,natural gas bill,utilities
EXP00245,160.94,Verizon,phone and data,utilities
EXP00246,106.0,CVS Pharmacy,flu medication,healthcare
EXP00247,139.22,Allstate,house insurance,insurance
EXP00248,28.81,Yoga Studio,mindfulness class,fitness
EXP00249,289.1,Samsung,phone accessories,technology
EXP00250,263.21,Amazon Tech,cables and adapters,technology
EXP00251,143.35,Udemy,business course,education
EXP00252,51.83,Waste Management,waste pickup service,utilities
EXP00253,308.91,Amazon Tech,smart home device,technology
EXP00254,16.52,Udemy,programming course,education
EXP00255,104.25,Verizon,monthly phone plan,utilities
EXP00256,112.79,Peoples Gas,heating bill,utilities
EXP00257,53.36,Walgreens,prescription drugs,healthcare
EXP00258,70.37,Parking Authority,airport parking,transport
EXP00259,246.26,Microsoft Store,Office 365 subscription,technology
EXP00260,4053.56,University,academic fees,education
EXP00261,13.62,Spotify,premium subscription,entertainment
EXP00262,79.11,Nike Store,athletic shoes,fitness
EXP00263,154.68,ComEd,power bill payment,utilities
EXP00264,8.29,McDonald's,quarter pounder combo,food
EXP00265,112.6,Amazon,clothing order,shopping
EXP00266,264.12,State Farm,car insurance premium,insurance
EXP00267,155.44,State Farm,auto coverage,insurance
EXP00268,304.45,Blue Cross Blue Shield,monthly health plan,insurance
EXP00269,134.54,Costco,bulk groceries,shopping
EXP00270,1016.46,Apple Store,iPad tablet,technology
EXP00271,149.83,Parking Authority,monthly parking pass,transport
EXP00272,8.03,Starbucks,cappuccino and pastry,food
EXP00273,117.34,Personal Trainer,personal fitness,fitness
EXP00274,46.06,Target,gift cards,shopping
EXP00275,50.39,Best Buy,tech accessories,technology
EXP00276,1028.87,Landlord Services,residential rent,rent
EXP00277,156.02,Costco,family supplies,shopping
EXP00278,41.51,Lyft,airport pickup,transport
EXP00279,560.98,Southwest Airlines,travel to Chicago,travel
EXP00280,68.87,PlayStation Store,DLC purchase,entertainment
EXP00281,130.67,Personal Trainer,workout training,fitness
EXP00282,25.11,Steam,indie game,entertainment
EXP00283,76.03,Target,home decor items,shopping
EXP00284,991.6,Apple Store,charging accessories,technology
EXP00285,13.71,KFC,family bucket meal,food
EXP00286,255.94,Hilton Hotels,travel accommodation,travel
EXP00287,72.1,Walgreens,health products,healthcare
EXP00288,121.18,Dental Office,oral care,healthcare
EXP00289,14.31,Netflix,monthly streaming,entertainment
EXP00290,644.75,Best Buy,computer mouse,shopping
EXP00291,762.71,Expedia,travel reservation,travel
EXP00292,20.89,Chipotle,chicken burrito,food
EXP00293,37.08,BP,regular gas fill,transport
EXP00294,48.13,BP,fuel stop,transport
EXP00295,7025.41,University,semester tuition,education
EXP00296,77.83,Uber,ride to airport,transport
EXP00297,25.44,Pizza Hut,large pepperoni pizza,food
EXP00298,46.06,Home Depot,garden tools,shopping
EXP00299,13.09,Spotify,monthly music plan,entertainment
EXP00300,392.57,Blue Cross Blue Shield,insurance payment,insurance
EXP00301,18.76,Subway,cookies and drink,food
EXP00302,73.58,MetLife,supplemental coverage,insurance
EXP00303,105.78,Verizon,monthly phone plan,utilities
EXP00304,1346.42,Apartment Complex,monthly housing,rent
EXP00305,559.51,Samsung,tablet device,technology
EXP00306,101.65,Udemy,programming course,education
EXP00307,11.87,PlayStation Store,digital game,entertainment
EXP00308,138.06,CVS Pharmacy,prescription refill,healthcare
EXP00309,1441.94,Real Estate Rental,monthly lease,rent
EXP00310,172.37,Xfinity,cable and internet,utilities
EXP00311,54.6,Metro Transit,monthly bus pass,transport
EXP00312,95.89,Target,home decor items,shopping
EXP00313,485.83,Delta Airlines,flight to New York,travel
EXP00314,70.86,Macy's,dress shirt,shopping
EXP00315,12.42,Planet Fitness,gym access,fitness
EXP00316,45.93,Planet Fitness,workout membership,fitness
EXP00317,35.28,Yoga Studio,mindfulness class,fitness
EXP00318,73.98,Peoples Gas,monthly gas usage,utilities
EXP00319,120.11,Xfinity,internet service,utilities
EXP00320,802.19,Samsung,phone accessories,technology
EXP00321,18.94,Chipotle,burrito bowl,food
EXP00322,6.19,Spotify,premium subscription,entertainment
EXP00323,706.84,Microsoft Store,Microsoft hardware,technology
EXP00324,11.4,Chipotle,quesadilla meal,food
EXP00325,25.91,KFC,popcorn chicken,food
EXP00326,162.16,State Farm,vehicle coverage,insurance
EXP00327,28.38,Chipotle,carnitas tacos,food
EXP00328,9.41,Khan Academy,study resources,education
EXP00329,47.63,Amazon,laptop accessories,shopping
EXP00330,21.13,Google Play,premium app,technology
EXP00331,57.02,PlayStation Store,DLC purchase,entertainment
EXP00332,28.63,Planet Fitness,workout membership,fitness
EXP00333,129.19,Best Buy,tech accessories,technology
EXP00334,1419.43,Housing Authority,housing payment,rent
EXP00335,129.51,Costco,warehouse shopping,shopping
EXP00336,263.5,Home Depot,garden tools,shopping
EXP00337,313.04,Allstate,property insurance,insurance
EXP00338,21.58,KFC,zinger burger combo,food
EXP00339,192.87,Liberty Mutual,insurance coverage,insurance
EXP00340,212.68,Amazon,electronics gadget,shopping
EXP00341,13.53,AMC Theaters,evening show tickets,entertainment
EXP00342,48.28,ComEd,monthly electric bill,utilities
EXP00343,1960.64,Apartment Complex,apartment rent,rent
EXP00344,151.43,Marriott Hotel,vacation lodging,travel
EXP00345,110.85,Walgreens,allergy medicine,healthcare
EXP00346,115.46,H&M,seasonal wear,shopping
EXP00347,355.77,Amazon Books,textbooks,education
EXP00348,58.51,BP,diesel fuel,transport
EXP00349,105.49,Dental Office,cavity filling,healthcare
EXP00350,823.21,Landlord Services,rental fee,rent
EXP00351,57.49,Target,gift cards,shopping
EXP00352,17.79,Google Play,premium app,technology
EXP00353,26.6,Whole Foods,fresh produce,food
EXP00354,1231.59,Property Management,lease payment,rent
EXP00355,115.14,Macy's,formal wear,shopping
EXP00356,172.39,Campus Bookstore,school supplies,education
EXP00357,116.69,Udemy,skill training,education
EXP00358,432.06,Delta Airlines,roundtrip ticket,travel
EXP00359,5.0,Google Play,mobile game,technology
EXP00360,179.06,Nike Store,workout clothes,fitness
EXP00361,181.65,Eye Care Center,eyeglasses,healthcare
EXP00362,89.76,Metro Transit,public transport,transport
EXP00363,269.63,Delta Airlines,flight to New York,travel
EXP00364,8.8,Chipotle,quesadilla meal,food
EXP00365,44.36,PlayStation Store,PS Plus subscription,entertainment
EXP00366,62.69,BP,fuel stop,transport
EXP00367,32.92,Uber,late night ride,transport
EXP00368,13.24,Spotify,premium subscription,entertainment
EXP00369,13.14,Netflix,monthly streaming,entertainment
EXP00370,40.35,Sports Authority,exercise gear,fitness
EXP00371,123.61,Xfinity,internet service,utilities
EXP00372,832.95,Samsung,tech gadget,technology
EXP00373,13.99,Chipotle,quesadilla meal,food
EXP00374,437.24,Dental Office,dental examination,healthcare
EXP00375,1059.67,Expedia,flight and hotel,travel
EXP00376,148.26,Peoples Gas,winter heating,utilities
EXP00377,187.61,Concert Venue,live music event,entertainment
EXP00378,131.07,Personal Trainer,workout training,fitness
EXP00379,247.13,Family Clinic,annual checkup,healthcare
EXP00380,70.3,Chevron,oil change service,transport
EXP00381,63.68,Waste Management,garbage collection,utilities
EXP00382,8.54,Google Play,mobile game,technology
EXP00383,104.15,Physical Therapy,physical treatment,healthcare
EXP00384,167.15,Amazon Tech,tech gadgets,technology
EXP00385,42.89,Macy's,designer clothes,shopping
EXP00386,124.66,Enterprise Rental,business trip rental,travel
EXP00387,287.25,Delta Airlines,domestic flight,travel
EXP00388,48.53,Walmart,household supplies,shopping
EXP00389,191.29,Family Clinic,annual checkup,healthcare
EXP00390,28.22,Metro Transit,weekly pass,transport
EXP00391,132.15,Udemy,professional development,education
EXP00392,215.86,Amazon Tech,tech gadgets,technology
EXP00393,148.23,Trader Joe's,frozen meals,food
EXP00394,154.56,Enterprise Rental,weekend car rental,travel
EXP00395,1174.03,Real Estate Rental,housing rental,rent
EXP00396,285.95,Costco,household bulk items,shopping
EXP00397,192.34,Physical Therapy,therapeutic care,healthcare
EXP00398,33.51,PlayStation Store,gaming content,entertainment
EXP00399,21.69,Yoga Studio,yoga membership,fitness
EXP00400,120.46,Coursera,online course,education
EXP00401,10.17,Google Play,in-app purchase,technology
EXP00402,183.35,Macy's,jewelry gift,shopping
EXP00403,13.93,Disney+,monthly Disney plan,entertainment
EXP00404,263.27,State Farm,auto insurance,insurance
EXP00405,64.14,PlayStation Store,game download,entertainment
EXP00406,56.66,BP,diesel fuel,transport
EXP00407,379.6,Costco,bulk snacks,shopping
EXP00408,80.91,Udemy,online learning,education
EXP00409,105.03,Udemy,professional development,education
EXP00410,66.43,LA Fitness,health club membership,fitness
EXP00411,2015.81,Apartment Complex,residential payment,rent
EXP00412,305.48,Dental Office,dental examination,healthcare
EXP00413,1109.76,Real Estate Rental,property rental,rent
EXP00414,52.63,LA Fitness,monthly gym dues,fitness
EXP00415,125.64,MetLife,additional insurance,insurance
EXP00416,16.82,Chipotle,carnitas tacos,food
EXP00417,1376.75,Apple Store,iPhone purchase,technology
EXP00418,108.57,Physical Therapy,therapeutic care,healthcare
EXP00419,2002.88,Apartment Complex,apartment rent,rent
EXP00420,1.32,Google Play,premium app,technology
EXP00421,1115.33,Landlord Services,residential rent,rent
EXP00422,26.71,Sports Authority,sports equipment,fitness
EXP00423,8.29,Khan Academy,learning platform,education
EXP00424,66.14,Water Department,water and sewer bill,utilities
EXP00425,39.71,H&M,seasonal wear,shopping
EXP00426,185.08,AT&T,telecom services,utilities
EXP00427,1669.09,Real Estate Rental,real estate rent,rent
EXP00428,128.24,Concert Venue,music concert,entertainment
EXP00429,796.03,Expedia,flight and hotel,travel
EXP00430,16.07,Starbucks,cappuccino and pastry,food
EXP00431,16.78,Starbucks,iced coffee,food
EXP00432,57.51,Walgreens,allergy medicine,healthcare
EXP00433,14.19,Netflix,monthly renewal,entertainment
EXP00434,258.31,Home Depot,home repair items,shopping
EXP00435,183.57,Walmart,household supplies,shopping
EXP00436,145.23,Personal Trainer,exercise coaching,fitness
EXP00437,11.41,McDonald's,McFlurry dessert,food
EXP00438,341.77,Family Clinic,medical consultation,healthcare
EXP00439,47.68,Trader Joe's,wine and cheese,food
EXP00440,9.14,Chipotle,burrito bowl,food
EXP00441,43.9,Walgreens,allergy medicine,healthcare
EXP00442,24.32,Khan Academy,learning platform,education
EXP00443,18.03,Khan Academy,study resources,education
EXP00444,16.07,Netflix,monthly renewal,entertainment
EXP00445,158.72,Marriott Hotel,vacation lodging,travel
EXP00446,37.71,H&M,seasonal wear,shopping
EXP00447,46.34,Shell,convenience items,transport
EXP00448,8.29,Chipotle,quesadilla meal,food
EXP00449,29.35,Shell,fuel for road trip,transport
EXP00450,1489.85,Real Estate Rental,real estate rent,rent
EXP00451,1125.55,Property Management,lease payment,rent
EXP00452,70.93,Walgreens,medical supplies,healthcare
EXP00453,252.9,Samsung,smartwatch,technology
EXP00454,417.03,Best Buy,computer mouse,shopping
EXP00455,458.67,Blue Cross Blue Shield,insurance payment,insurance
EXP00456,60.58,H&M,accessories,shopping
EXP00457,692.12,Expedia,trip booking,travel
EXP00458,275.73,State Farm,auto coverage,insurance
EXP00459,98.16,Walgreens,prescription drugs,healthcare
EXP00460,31.76,Google Play,in-app purchase,technology
EXP00461,109.0,Trader Joe's,specialty items,food
EXP00462,742.02,Delta Airlines,roundtrip ticket,travel
EXP00463,9.54,Disney+,monthly Disney plan,entertainment
EXP00464,127.62,Enterprise Rental,car rental,travel
EXP00465,29.82,Walmart,pharmacy items,shopping
EXP00466,68.2,AT&T,fiber internet,utilities
EXP00467,100.26,Xfinity,internet service,utilities
EXP00468,152.39,Marriott Hotel,vacation lodging,travel
EXP00469,285.25,State Farm,auto insurance,insurance
EXP00470,40.32,Parking Authority,meter parking,transport
EXP00471,325.86,Amazon Books,study materials,education
EXP00472,532.48,Delta Airlines,roundtrip ticket,travel
EXP00473,96.86,Personal Trainer,personal fitness,fitness
EXP00474,99.07,Coursera,certification program,education
EXP00475,192.55,Eye Care Center,vision test,healthcare
EXP00476,18.13,Domino's,pizza pickup order,food
EXP00477,19.49,Chipotle,quesadilla meal,food
EXP00478,332.5,Costco,family supplies,shopping
EXP00479,24.28,Domino's,garlic bread,food
EXP00480,94.63,ComEd,electricity usage,utilities
EXP00481,15.83,Netflix,video streaming service,entertainment
EXP00482,77.14,H&M,accessories,shopping
EXP00483,1019.88,Housing Authority,housing payment,rent
EXP00484,2119.11,Landlord Services,property rent,rent
EXP00485,642.38,Microsoft Store,Office 365 subscription,technology
EXP00486,145.89,MetLife,healthcare supplement,insurance
EXP00487,26.45,CVS Pharmacy,vitamins and supplements,healthcare
EXP00488,11.87,Khan Academy,skill building,education
EXP00489,84.68,Xfinity,cable and internet,utilities
EXP00490,508.81,Delta Airlines,business trip flight,travel
EXP00491,9.93,Disney+,monthly Disney plan,entertainment
EXP00492,106.36,Walgreens,medical supplies,healthcare
EXP00493,25.3,Parking Authority,meter parking,transport
EXP00494,2161.85,Landlord Services,property rent,rent
EXP00495,85.88,Costco,warehouse shopping,shopping
EXP00496,910.69,Real Estate Rental,monthly lease,rent
EXP00497,170.12,Dental Office,dental examination,healthcare
EXP00498,88.99,Microsoft Store,Office 365 subscription,technology
EXP00499,47.98,Steam,AAA game title,entertainment
EXP00500,10.27,Disney+,streaming service,entertainment
EXP00501,246.29,Campus Bookstore,course materials,education
EXP00502,473.34,Samsung,phone accessories,technology
EXP00503,155.11,Whole Foods,organic groceries,food
EXP00504,34.39,Steam,game download,entertainment
EXP00505,275.5,Airbnb,holiday rental,travel
EXP00506,1483.18,Property Management,lease payment,rent
EXP00507,377.45,Southwest Airlines,travel to Chicago,travel
EXP00508,91.04,Xfinity,internet service,utilities
EXP00509,89.96,Walmart,weekly groceries,shopping
EXP00510,71.58,Verizon,cell phone bill,utilities
EXP00511,21.33,McDonald's,quarter pounder combo,food
EXP00512,45.51,Udemy,professional development,education
EXP00513,45.46,Target,personal care,shopping
EXP00514,50.17,Pizza Hut,large pepperoni pizza,food
EXP00515,240.41,Progressive,monthly auto premium,insurance
EXP00516,399.17,Apple Store,MacBook laptop,technology
EXP00517,290.98,Eye Care Center,eye examination,healthcare
EXP00518,91.63,AT&T,internet and phone,utilities
EXP00519,1012.33,Real Estate Rental,monthly lease,rent
EXP00520,138.63,Progressive,auto insurance premium,insurance
EXP00521,187.2,AT&T,monthly service,utilities
EXP00522,2045.72,Landlord Services,property rent,rent
EXP00523,20.0,Peoples Gas,natural gas bill,utilities
EXP00524,19.3,Planet Fitness,monthly gym membership,fitness
EXP00525,488.58,Apple Store,iPhone purchase,technology
EXP00526,40.81,Lyft,airport pickup,transport
EXP00527,74.24,BP,regular gas fill,transport
EXP00528,174.81,Coursera,certification program,education
EXP00529,357.28,Allstate,homeowners coverage,insurance
EXP00530,165.64,Hilton Hotels,family vacation hotel,travel
EXP00531,53.66,Parking Authority,meter parking,transport
EXP00532,32.71,KFC,zinger burger combo,food
EXP00533,30.56,Walgreens,allergy medicine,healthcare
EXP00534,158.12,Best Buy,laptop computer,technology
EXP00535,117.53,Xfinity,broadband service,utilities
EXP00536,1491.99,Property Management,housing payment,rent
EXP00537,246.47,Amazon Books,study materials,education
EXP00538,293.98,Southwest Airlines,business travel,travel
EXP00539,27.21,AMC Theaters,popcorn and movie,entertainment
